index,Test_Time(s),,Step_Time(s),Cycle_Index,Step_Index,Voltage,Test_Time(s),Step_Time(s),Cycle_Index,Step_Index,Current,Test_Time(s),Step_Time(s),Cycle_Index,Step_Index,Charge_Capacity,Test_Time(s),Step_Time(s),Cycle_Index,Step_Index,Discharge_Capacity,Test_Time(s),Step_Time(s),Cycle_Index,Step_Index
2585,298404.281756,,1080.0008,33,5,3.62718725204468,298404.281756,1080.0008,33,5,-2.28201580047607,298404.281756,1080.0008,33,5,2.44916129112244,298404.281756,1080.0008,33,5,0.684593439102173,298404.281756,1080.0008,33,5
2586,298524.281156,,1200.0002,33,5,3.60169649124145,298524.281156,1200.0002,33,5,-2.28186798095703,298524.281156,1200.0002,33,5,2.44916129112244,298524.281156,1200.0002,33,5,0.760661661624908,298524.281156,1200.0002,33,5
2587,298644.286156,,1320.0052,33,5,3.57753992080688,298644.286156,1320.0052,33,5,-2.28201961517334,298644.286156,1320.0052,33,5,2.44916129112244,298644.286156,1320.0052,33,5,0.836733877658844,298644.286156,1320.0052,33,5
2588,298764.286856,,1440.0059,33,5,3.55456590652466,298764.286856,1440.0059,33,5,-2.28191661834717,298764.286856,1440.0059,33,5,2.44916129112244,298764.286856,1440.0059,33,5,0.912804841995239,298764.286856,1440.0059,33,5
2589,298884.283056,,1560.0021,33,5,3.53287744522095,298884.283056,1560.0021,33,5,-2.28219032287598,298884.283056,1560.0021,33,5,2.44916129112244,298884.283056,1560.0021,33,5,0.988871216773987,298884.283056,1560.0021,33,5
2590,299004.281256,,1680.0003,33,5,3.51217794418335,299004.281256,1680.0003,33,5,-2.28196144104004,299004.281256,1680.0003,33,5,2.44916129112244,299004.281256,1680.0003,33,5,1.06493067741394,299004.281256,1680.0003,33,5
2591,299124.286456,,1800.0055,33,5,3.49241399765015,299124.286456,1800.0055,33,5,-2.28217697143555,299124.286456,1800.0055,33,5,2.44916129112244,299124.286456,1800.0055,33,5,1.14100623130798,299124.286456,1800.0055,33,5
2592,299244.281256,,1920.0003,33,5,3.47375726699829,299244.281256,1920.0003,33,5,-2.2818660736084,299244.281256,1920.0003,33,5,2.44916129112244,299244.281256,1920.0003,33,5,1.21706807613373,299244.281256,1920.0003,33,5
2593,299364.283256,,2040.0023,33,5,3.45599794387817,299364.283256,2040.0023,33,5,-2.28199291229248,299364.283256,2040.0023,33,5,2.44916129112244,299364.283256,2040.0023,33,5,1.29313337802887,299364.283256,2040.0023,33,5
2594,299484.286956,,2160.006,33,5,3.43918371200562,299484.286956,2160.006,33,5,-2.28210067749023,299484.286956,2160.006,33,5,2.44916129112244,299484.286956,2160.006,33,5,1.36919617652893,299484.286956,2160.006,33,5
2595,299604.285656,,2280.0047,33,5,3.42249059677124,299604.285656,2280.0047,33,5,-2.28215026855469,299604.285656,2280.0047,33,5,2.44916129112244,299604.285656,2280.0047,33,5,1.44525957107544,299604.285656,2280.0047,33,5
2596,299724.285556,,2400.0046,33,5,3.40704011917114,299724.285556,2400.0046,33,5,-2.28202724456787,299724.285556,2400.0046,33,5,2.44916129112244,299724.285556,2400.0046,33,5,1.52133393287659,299724.285556,2400.0046,33,5
2597,299844.282756,,2520.0018,33,5,3.39160680770874,299844.282756,2520.0018,33,5,-2.28182506561279,299844.282756,2520.0018,33,5,2.44916129112244,299844.282756,2520.0018,33,5,1.59740245342255,299844.282756,2520.0018,33,5
2598,299964.281856,,2640.0009,33,5,3.3757119178772,299964.281856,2640.0009,33,5,-2.28199577331543,299964.281856,2640.0009,33,5,2.44916129112244,299964.281856,2640.0009,33,5,1.67346751689911,299964.281856,2640.0009,33,5
2599,300084.285256,,2760.0043,33,5,3.35935068130493,300084.285256,2760.0043,33,5,-2.28182315826416,300084.285256,2760.0043,33,5,2.44916129112244,300084.285256,2760.0043,33,5,1.74953532218933,300084.285256,2760.0043,33,5
2600,300204.284356,,2880.0034,33,5,3.34169149398804,300204.284356,2880.0034,33,5,-2.28195095062256,300204.284356,2880.0034,33,5,2.44916129112244,300204.284356,2880.0034,33,5,1.82560801506042,300204.284356,2880.0034,33,5
2601,300324.285856,,3000.0049,33,5,3.32186460494995,300324.285856,3000.0049,33,5,-2.28214836120605,300324.285856,3000.0049,33,5,2.44916129112244,300324.285856,3000.0049,33,5,1.90167057514191,300324.285856,3000.0049,33,5
2602,300444.285856,,3120.0049,33,5,3.29999017715454,300444.285856,3120.0049,33,5,-2.28210353851318,300444.285856,3120.0049,33,5,2.44916129112244,300444.285856,3120.0049,33,5,1.97773921489716,300444.285856,3120.0049,33,5
2603,300564.287956,,3240.007,33,5,3.2749342918396,300564.287956,3240.007,33,5,-2.28219318389893,300564.287956,3240.007,33,5,2.44916129112244,300564.287956,3240.007,33,5,2.05380821228027,300564.287956,3240.007,33,5
2604,300684.287756,,3360.0068,33,5,3.24493646621704,300684.287756,3360.0068,33,5,-2.28202056884766,300684.287756,3360.0068,33,5,2.44916129112244,300684.287756,3360.0068,33,5,2.12987971305847,300684.287756,3360.0068,33,5
2605,300804.285956,,3480.005,33,5,3.20845651626587,300804.285956,3480.005,33,5,-2.28218078613281,300804.285956,3480.005,33,5,2.44916129112244,300804.285956,3480.005,33,5,2.20594906806946,300804.285956,3480.005,33,5
2606,300924.285556,,3600.0046,33,5,3.16230916976929,300924.285556,3600.0046,33,5,-2.28212356567383,300924.285556,3600.0046,33,5,2.44916129112244,300924.285556,3600.0046,33,5,2.28201389312744,300924.285556,3600.0046,33,5
2607,301044.284656,,3720.0037,33,5,3.10235357284546,301044.284656,3720.0037,33,5,-2.28190422058105,301044.284656,3720.0037,33,5,2.44916129112244,301044.284656,3720.0037,33,5,2.35808563232422,301044.284656,3720.0037,33,5
2608,301164.287056,,3840.0061,33,5,3.02097368240356,301164.287056,3840.0061,33,5,-2.28182697296143,301164.287056,3840.0061,33,5,2.44916129112244,301164.287056,3840.0061,33,5,2.43415284156799,301164.287056,3840.0061,33,5
2609,301188.781556,,3864.5006,33,5,2.99998807907104,301188.781556,3864.5006,33,5,-2.28180980682373,301188.781556,3864.5006,33,5,2.44916129112244,301188.781556,3864.5006,33,5,2.44968056678772,301188.781556,3864.5006,33,5
2610,301308.942976,,120.004,33,6,3.6138014793396,301308.942976,120.004,33,6,0,301308.942976,120.004,33,6,2.44916129112244,301308.942976,120.004,33,6,2.44971084594727,301308.942976,120.004,33,6
2611,301428.942376,,240.0034,33,6,3.64577054977417,301428.942376,240.0034,33,6,0,301428.942376,240.0034,33,6,2.44916129112244,301428.942376,240.0034,33,6,2.44971084594727,301428.942376,240.0034,33,6
2612,301488.942776,,300.0038,33,6,3.65388822555542,301488.942776,300.0038,33,6,0,301488.942776,300.0038,33,6,2.44916129112244,301488.942776,300.0038,33,6,2.44971084594727,301488.942776,300.0038,33,6
2613,301609.03102,,120.0026,34,2,4.19998025894165,301609.03102,120.0026,34,2,3.3089656829834,301609.03102,120.0026,34,2,0.127264365553856,301609.03102,120.0026,34,2,1.95399874058921E-09,301609.03102,120.0026,34,2
2614,301626.10232,,137.0739,34,2,4.19999170303345,301626.10232,137.0739,34,2,3.25998306274414,301626.10232,137.0739,34,2,0.142842203378677,301626.10232,137.0739,34,2,1.95399874058921E-09,301626.10232,137.0739,34,2
2615,301746.135632,,120.0059,34,3,4.2324481010437,301746.135632,120.0059,34,3,3.26015281677246,301746.135632,120.0059,34,3,0.251262336969376,301746.135632,120.0059,34,3,1.95399874058921E-09,301746.135632,120.0059,34,3
2616,301866.130232,,240.0005,34,3,4.26178884506226,301866.130232,240.0005,34,3,3.25998878479004,301866.130232,240.0005,34,3,0.359923362731934,301866.130232,240.0005,34,3,1.95399874058921E-09,301866.130232,240.0005,34,3
2617,301986.135332,,360.0056,34,3,4.28595113754272,301986.135332,360.0056,34,3,3.2601146697998,301986.135332,360.0056,34,3,0.468588292598724,301986.135332,360.0056,34,3,1.95399874058921E-09,301986.135332,360.0056,34,3
2618,302106.129832,,480.0001,34,3,4.30974531173706,302106.129832,480.0001,34,3,3.26022338867187,302106.129832,480.0001,34,3,0.577251017093658,302106.129832,480.0001,34,3,1.95399874058921E-09,302106.129832,480.0001,34,3
2619,302226.130932,,600.0012,34,3,4.33567953109741,302226.130932,600.0012,34,3,3.25982093811035,302226.130932,600.0012,34,3,0.685929656028748,302226.130932,600.0012,34,3,1.95399874058921E-09,302226.130932,600.0012,34,3
2620,302346.134532,,720.0048,34,3,4.3641619682312,302346.134532,720.0048,34,3,3.26009750366211,302346.134532,720.0048,34,3,0.794601082801819,302346.134532,720.0048,34,3,1.95399874058921E-09,302346.134532,720.0048,34,3
2621,302466.133732,,840.004,34,3,4.39453554153442,302466.133732,840.004,34,3,3.26020240783691,302466.133732,840.004,34,3,0.903260588645935,302466.133732,840.004,34,3,1.95399874058921E-09,302466.133732,840.004,34,3
2622,302586.133632,,960.0039,34,3,4.40002679824829,302586.133632,960.0039,34,3,3.03515243530273,302586.133632,960.0039,34,3,1.00862193107605,302586.133632,960.0039,34,3,1.95399874058921E-09,302586.133632,960.0039,34,3
2623,302706.130632,,1080.0009,34,3,4.40000200271606,302706.130632,1080.0009,34,3,2.80587768554687,302706.130632,1080.0009,34,3,1.10592722892761,302706.130632,1080.0009,34,3,1.95399874058921E-09,302706.130632,1080.0009,34,3
2624,302826.134732,,1200.005,34,3,4.40000104904175,302826.134732,1200.005,34,3,2.60290336608887,302826.134732,1200.005,34,3,1.19597244262695,302826.134732,1200.005,34,3,1.95399874058921E-09,302826.134732,1200.005,34,3
2625,302946.136032,,1320.0063,34,3,4.39997243881226,302946.136032,1320.0063,34,3,2.42857360839844,302946.136032,1320.0063,34,3,1.27976632118225,302946.136032,1320.0063,34,3,1.95399874058921E-09,302946.136032,1320.0063,34,3
2626,303066.134332,,1440.0046,34,3,4.39998960494995,303066.134332,1440.0046,34,3,2.28039741516113,303066.134332,1440.0046,34,3,1.35819125175476,303066.134332,1440.0046,34,3,1.95399874058921E-09,303066.134332,1440.0046,34,3
2627,303186.134332,,1560.0046,34,3,4.39997529983521,303186.134332,1560.0046,34,3,2.15129852294922,303186.134332,1560.0046,34,3,1.43200671672821,303186.134332,1560.0046,34,3,1.95399874058921E-09,303186.134332,1560.0046,34,3
2628,303306.132832,,1680.0031,34,3,4.4000563621521,303306.132832,1680.0031,34,3,2.03521156311035,303306.132832,1680.0031,34,3,1.50172138214111,303306.132832,1680.0031,34,3,1.95399874058921E-09,303306.132832,1680.0031,34,3
2629,303426.135832,,1800.0061,34,3,4.40002202987671,303426.135832,1800.0061,34,3,1.93254280090332,303426.135832,1800.0061,34,3,1.56780827045441,303426.135832,1800.0061,34,3,1.95399874058921E-09,303426.135832,1800.0061,34,3
2630,303546.132132,,1920.0024,34,3,4.39998960494995,303546.132132,1920.0024,34,3,1.84002208709717,303546.132132,1920.0024,34,3,1.63064527511597,303546.132132,1920.0024,34,3,1.95399874058921E-09,303546.132132,1920.0024,34,3
2631,303666.134532,,2040.0048,34,3,4.39998579025269,303666.134532,2040.0048,34,3,1.75491905212402,303666.134532,2040.0048,34,3,1.69055593013763,303666.134532,2040.0048,34,3,1.95399874058921E-09,303666.134532,2040.0048,34,3
2632,303786.131132,,2160.0014,34,3,4.40004396438599,303786.131132,2160.0014,34,3,1.67616748809814,303786.131132,2160.0014,34,3,1.74771511554718,303786.131132,2160.0014,34,3,1.95399874058921E-09,303786.131132,2160.0014,34,3
2633,303906.130332,,2280.0006,34,3,4.39997148513794,303906.130332,2280.0006,34,3,1.60032558441162,303906.130332,2280.0006,34,3,1.80231583118439,303906.130332,2280.0006,34,3,1.95399874058921E-09,303906.130332,2280.0006,34,3
2634,304026.133232,,2400.0035,34,3,4.40001249313355,304026.133232,2400.0035,34,3,1.52938842773438,304026.133232,2400.0035,34,3,1.85447204113007,304026.133232,2400.0035,34,3,1.95399874058921E-09,304026.133232,2400.0035,34,3
2635,304146.131632,,2520.0019,34,3,4.39999151229858,304146.131632,2520.0019,34,3,1.46238803863525,304146.131632,2520.0019,34,3,1.90432417392731,304146.131632,2520.0019,34,3,1.95399874058921E-09,304146.131632,2520.0019,34,3
2636,304266.130532,,2640.0008,34,3,4.40001344680786,304266.130532,2640.0008,34,3,1.39758968353271,304266.130532,2640.0008,34,3,1.95197021961212,304266.130532,2640.0008,34,3,1.95399874058921E-09,304266.130532,2640.0008,34,3
2637,304386.135332,,2760.0056,34,3,4.39998006820679,304386.135332,2760.0056,34,3,1.3348445892334,304386.135332,2760.0056,34,3,1.99751210212708,304386.135332,2760.0056,34,3,1.95399874058921E-09,304386.135332,2760.0056,34,3
2638,304506.134532,,2880.0048,34,3,4.40004014968872,304506.134532,2880.0048,34,3,1.27402496337891,304506.134532,2880.0048,34,3,2.04098963737488,304506.134532,2880.0048,34,3,1.95399874058921E-09,304506.134532,2880.0048,34,3
2639,304626.134432,,3000.0047,34,3,4.40003633499146,304626.134432,3000.0047,34,3,1.21492004394531,304626.134432,3000.0047,34,3,2.08247137069702,304626.134432,3000.0047,34,3,1.95399874058921E-09,304626.134432,3000.0047,34,3
2640,304746.129932,,3120.0002,34,3,4.40001058578491,304746.129932,3120.0002,34,3,1.15922927856445,304746.129932,3120.0002,34,3,2.12202525138855,304746.129932,3120.0002,34,3,1.95399874058921E-09,304746.129932,3120.0002,34,3
2641,304866.129732,,3240,34,3,4.39996862411499,304866.129732,3240,34,3,1.10268783569336,304866.129732,3240,34,3,2.15972781181335,304866.129732,3240,34,3,1.95399874058921E-09,304866.129732,3240,34,3
2642,304986.136432,,3360.0067,34,3,4.40002202987671,304986.136432,3360.0067,34,3,1.05016422271729,304986.136432,3360.0067,34,3,2.19561409950256,304986.136432,3360.0067,34,3,1.95399874058921E-09,304986.136432,3360.0067,34,3
2643,305106.134132,,3480.0044,34,3,4.40004396438599,305106.134132,3480.0044,34,3,0.998553276062012,305106.134132,3480.0044,34,3,2.22974967956543,305106.134132,3480.0044,34,3,1.95399874058921E-09,305106.134132,3480.0044,34,3
2644,305226.134532,,3600.0048,34,3,4.39998960494995,305226.134532,3600.0048,34,3,0.948410034179688,305226.134532,3600.0048,34,3,2.26219630241394,305226.134532,3600.0048,34,3,1.95399874058921E-09,305226.134532,3600.0048,34,3
2645,305346.135232,,3720.0055,34,3,4.3999285697937,305346.135232,3720.0055,34,3,0.900365829467773,305346.135232,3720.0055,34,3,2.29300928115845,305346.135232,3720.0055,34,3,1.95399874058921E-09,305346.135232,3720.0055,34,3
2646,305466.133632,,3840.0039,34,3,4.40002202987671,305466.133632,3840.0039,34,3,0.853703498840332,305466.133632,3840.0039,34,3,2.32223463058472,305466.133632,3840.0039,34,3,1.95399874058921E-09,305466.133632,3840.0039,34,3
