index,Test_Time(s),Step_Time(s),Cycle_Index,Step_Index,Voltage,Test_Time(s),Step_Time(s),Cycle_Index,Step_Index,Current,Test_Time(s),Step_Time(s),Cycle_Index,Step_Index,Charge_Capacity,Test_Time(s),Step_Time(s),Cycle_Index,Step_Index,Discharge_Capacity
855,99577.646144,600.0024,11,5,3.70347595214844,99577.646144,600.0024,11,5,-2.28182029724121,99577.646144,600.0024,11,5,2.40531325340271,99577.646144,600.0024,11,5,0.380347430706024
856,99697.646844,720.0031,11,5,3.67099380493164,99697.646844,720.0031,11,5,-2.28208923339844,99697.646844,720.0031,11,5,2.40531325340271,99697.646844,720.0031,11,5,0.456413209438324
857,99817.646444,840.0027,11,5,3.63947868347168,99817.646444,840.0027,11,5,-2.28212356567383,99817.646444,840.0027,11,5,2.40531325340271,99817.646444,840.0027,11,5,0.532481670379639
858,99937.647444,960.0037,11,5,3.6100025177002,99937.647444,960.0037,11,5,-2.2820930480957,99937.647444,960.0037,11,5,2.40531325340271,99937.647444,960.0037,11,5,0.60855370759964
859,100057.648344,1080.0046,11,5,3.58303451538086,100057.648344,1080.0046,11,5,-2.28213691711426,100057.648344,1080.0046,11,5,2.40531325340271,100057.648344,1080.0046,11,5,0.684623301029205
860,100177.645744,1200.002,11,5,3.55795955657959,100177.645744,1200.002,11,5,-2.28218936920166,100177.645744,1200.002,11,5,2.40531325340271,100177.645744,1200.002,11,5,0.760692775249481
861,100297.648844,1320.0051,11,5,3.53409004211426,100297.648844,1320.0051,11,5,-2.28218555450439,100297.648844,1320.0051,11,5,2.40531325340271,100297.648844,1320.0051,11,5,0.836766302585602
862,100417.649644,1440.0059,11,5,3.51138305664062,100417.649644,1440.0059,11,5,-2.28213024139404,100417.649644,1440.0059,11,5,2.40531325340271,100417.649644,1440.0059,11,5,0.912836074829102
863,100537.648744,1560.005,11,5,3.48968696594238,100537.648744,1560.005,11,5,-2.28206062316895,100537.648744,1560.005,11,5,2.40531325340271,100537.648744,1560.005,11,5,0.988903105258942
864,100657.649644,1680.0059,11,5,3.46938800811768,100657.649644,1680.0059,11,5,-2.28211116790771,100657.649644,1680.0059,11,5,2.40531325340271,100657.649644,1680.0059,11,5,1.06497287750244
865,100777.648044,1800.0043,11,5,3.45013236999512,100777.648044,1800.0043,11,5,-2.28204345703125,100777.648044,1800.0043,11,5,2.40531325340271,100777.648044,1800.0043,11,5,1.14104068279266
